year,season,hours,hibernation_hours,distance_km,water_scarcity_hours,organic_scarcity_hours,thermal_scarcity_hours,water_min,water_mean,water_max,organic_min,organic_mean,organic_max,electricity_min,electricity_mean,electricity_max,heat_min,heat_mean,heat_max,body_temperature_min,body_temperature_mean,body_temperature_max,total_mass_min,total_mass_mean,total_mass_max,activities,actions
7,Summer,2208,0,896.562686,0,0,0,2170.00415,3627.334229,4876.047363,3177.447266,3322.624268,3465.926025,206.626022,267.937988,279.095612,0,0.744887,8.662563,18.000004,18.173916,22.920219,31644.466797,33241.742188,34671.941406,"Travel:281|CollectWater:2|HarvestDryBiomass:141|DryOrganicMatter:308|CollectChitin:4","burn dry organic matter:736|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|maintain electrical systems:736|atrophy Снегосборник:734|atrophy Сушильный орган:428|atrophy Тепловой орган:734|harvest live biomass:23|power intake and harvest:363|generate solar electricity:434|move:437|movement water loss:437|movement organic maintenance:437|harvest dry biomass:98|grow Сборщик сухой массы:78|grow Органическое хранилище:198|grow Биореактор / топка:78|grow Солнечный лист:218|grow Сушильный орган:98|grow Охлаждающий орган:98|collect chitin:3|grow Парус:120|grow Резервуар:120|grow Каркас:242|capture dust:282|withdraw surface water:25|heat caravan:90"
7,Autumn,2184,0,861.561922,0,0,0,2188.213379,3372.579346,4585.606934,3242.115723,3394.938721,3530.586426,198.280319,264.48642,279.095917,0,0.770227,9.316471,18.000004,18.000004,18.000004,31826.947266,33359.011719,34576.011719,"Travel:398|CollectWater:10|HarvestDryBiomass:143|DryOrganicMatter:162|CollectChitin:15","harvest dry biomass:88|capture dust:386|burn dry organic matter:728|power intake and harvest:447|heat caravan:728|reject heat:728|spoil wet organic matter:609|maintain caravan water circuit:728|maintain living structure:728|maintain electrical systems:728|grow Сборщик сухой массы:83|grow Органическое хранилище:242|grow Биореактор / топка:83|atrophy Снегосборник:718|atrophy Сушильный орган:566|atrophy Тепловой орган:176|move:424|movement water loss:424|movement organic maintenance:424|grow Парус:159|grow Солнечный лист:195|grow Резервуар:161|grow Каркас:227|generate solar electricity:324|grow Сушильный орган:36|grow Охлаждающий орган:36|withdraw surface water:17|harvest live biomass:5|collect chitin:9|grow Ростовая ткань:8|grow Водозабор:2|grow Снегосборник:2|grow Тепловой орган:2"
8,Winter,2160,0,567.638961,0,0,0,2218.604248,3546.238525,5226.530273,3330.334229,3526.161865,3787.297363,222.359268,272.69397,279.092468,0,0.394065,6.406559,18.000004,18.000004,18.000004,32447.650391,34226.449219,36862.878906,"Travel:492|CollectWater:8|HarvestDryBiomass:143|DryOrganicMatter:63|CollectChitin:14","burn dry organic matter:720|heat caravan:720|reject heat:720|spoil wet organic matter:515|maintain caravan water circuit:720|maintain living structure:720|maintain electrical systems:720|atrophy Снегосборник:712|atrophy Сушильный орган:657|harvest dry biomass:119|power intake and harvest:522|move:352|movement water loss:352|movement organic maintenance:352|capture dust:458|grow Сборщик сухой массы:72|grow Органическое хранилище:232|grow Биореактор / топка:72|grow Парус:160|grow Солнечный лист:173|grow Резервуар:163|grow Каркас:211|generate solar electricity:271|withdraw surface water:21|grow Сушильный орган:13|grow Охлаждающий орган:13|atrophy Жатка живой массы:11|harvest live biomass:3|grow Ростовая ткань:6|collect chitin:10|grow Водозабор:3|grow Снегосборник:3|grow Тепловой орган:3"
8,Spring,2208,0,792.925953,0,0,0,2258.713623,3348.424072,5067.098145,3368.497559,3503.800049,3661.513916,226.179535,270.029327,279.091858,0,0.622451,7.536152,18.000004,18.199768,21.639971,32650.113281,33931.355469,35672.5625,"Travel:314|CollectWater:10|HarvestDryBiomass:135|DryOrganicMatter:266|CollectChitin:11","burn dry organic matter:736|heat caravan:226|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|maintain electrical systems:736|grow Парус:129|grow Солнечный лист:209|grow Резервуар:132|grow Органическое хранилище:206|grow Каркас:200|atrophy Снегосборник:726|atrophy Сушильный орган:470|move:433|movement water loss:433|movement organic maintenance:433|generate solar electricity:396|withdraw surface water:17|collect chitin:6|power intake and harvest:415|harvest dry biomass:81|grow Сборщик сухой массы:77|grow Биореактор / топка:77|capture dust:356|harvest live biomass:27|grow Сушильный орган:80|grow Охлаждающий орган:80|grow Ростовая ткань:5|grow Водозабор:3|grow Снегосборник:3|grow Тепловой орган:3|atrophy Тепловой орган:44"
8,Summer,2208,0,915.421397,0,0,0,2240.46875,3562.16626,5122.27002,3403.508545,3554.576416,3708.343018,177.250702,267.021576,279.090881,0,0.789201,10.150715,18.000004,19.321976,23.84322,32852.933594,34402.261719,35940.988281,"Travel:291|CollectWater:13|HarvestDryBiomass:116|DryOrganicMatter:299|CollectChitin:17","burn dry organic matter:736|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|maintain electrical systems:736|move:429|movement water loss:429|movement organic maintenance:429|grow Парус:121|grow Солнечный лист:223|grow Резервуар:128|grow Органическое хранилище:189|grow Каркас:237|atrophy Снегосборник:723|atrophy Сушильный орган:437|atrophy Тепловой орган:723|capture dust:325|power intake and harvest:413|generate solar electricity:435|grow Водозабор:7|grow Снегосборник:7|grow Тепловой орган:7|withdraw surface water:24|harvest dry biomass:110|grow Сборщик сухой массы:68|grow Биореактор / топка:68|grow Сушильный орган:102|grow Охлаждающий орган:102|harvest live biomass:29|collect chitin:8|grow Ростовая ткань:9"
8,Autumn,2184,0,868.779739,0,0,0,2299.215576,3760.554932,5188.294434,3440.973389,3617.447021,3744.853027,150.166977,256.911835,279.085449,0,0.860123,9.687218,18.000004,18.000004,18.000004,33415.050781,34949.203125,36559.308594,"Travel:417|CollectWater:9|HarvestDryBiomass:126|DryOrganicMatter:173|CollectChitin:3","burn dry organic matter:728|reject heat:728|spoil wet organic matter:708|maintain caravan water circuit:728|maintain living structure:728|maintain electrical systems:728|grow Парус:161|grow Солнечный лист:207|grow Резервуар:161|grow Органическое хранилище:235|grow Каркас:242|atrophy Снегосборник:719|atrophy Сушильный орган:555|atrophy Тепловой орган:330|generate solar electricity:325|move:414|movement water loss:414|movement organic maintenance:414|harvest dry biomass:75|power intake and harvest:462|grow Сборщик сухой массы:74|grow Биореактор / топка:74|capture dust:408|grow Сушильный орган:46|grow Охлаждающий орган:46|withdraw surface water:17|harvest live biomass:8|heat caravan:636|collect chitin:2|grow Ростовая ткань:1"
9,Winter,2160,0,508.90911,0,0,0,2333.654785,4100.605957,5442.436523,3596.47998,3778.959229,3994.190674,214.053741,274.473938,279.084137,0,0.304795,9.585342,18.000004,18.000004,18.000004,33972.753906,36168.289063,38270.070313,"Travel:514|CollectWater:6|HarvestDryBiomass:141|DryOrganicMatter:51|CollectChitin:8","capture dust:515|burn dry organic matter:720|power intake and harvest:566|heat caravan:720|reject heat:720|maintain caravan water circuit:720|maintain living structure:720|maintain electrical systems:720|move:361|movement water loss:361|movement organic maintenance:361|atrophy Снегосборник:714|atrophy Сушильный орган:669|generate solar electricity:280|harvest dry biomass:125|spoil wet organic matter:359|grow Сборщик сухой массы:69|grow Органическое хранилище:239|grow Биореактор / топка:69|grow Каркас:234|grow Парус:170|grow Солнечный лист:178|grow Резервуар:170|collect chitin:6|withdraw surface water:18|grow Сушильный орган:8|grow Охлаждающий орган:8|harvest live biomass:1|grow Ростовая ткань:2"
9,Spring,2208,0,800.900038,0,0,0,2354.717285,3811.727783,5151.534668,3582.790527,3722.458008,3886.614258,215.901825,268.999847,279.08432,0,0.653895,9.325962,18.000004,18.000004,18.000004,33917.9375,35596.546875,37133.796875,"Travel:341|CollectWater:8|HarvestDryBiomass:118|DryOrganicMatter:260|CollectChitin:9","withdraw surface water:17|harvest dry biomass:74|capture dust:378|burn dry organic matter:736|power intake and harvest:430|heat caravan:296|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|maintain electrical systems:736|grow Сборщик сухой массы:69|grow Органическое хранилище:212|grow Биореактор / топка:69|grow Каркас:235|atrophy Снегосборник:728|atrophy Сушильный орган:476|move:411|movement water loss:411|movement organic maintenance:411|grow Парус:143|grow Солнечный лист:223|grow Резервуар:147|generate solar electricity:394|grow Сушильный орган:80|grow Охлаждающий орган:80|harvest live biomass:24|grow Водозабор:4|grow Снегосборник:4|grow Тепловой орган:4|grow Ростовая ткань:5|collect chitin:6"
9,Summer,2208,0,872.894853,0,0,0,2376.762451,3893.020508,5313.675293,3632.6875,3773.999512,3929.064453,195.332825,266.39325,279.079742,0,0.828593,8.546249,18.000004,18.369568,23.84845,34261.324219,35989.574219,37457.222656,"Travel:298|CollectWater:4|HarvestDryBiomass:123|DryOrganicMatter:303|CollectChitin:8","capture dust:308|burn dry organic matter:736|power intake and harvest:379|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|maintain electrical systems:736|atrophy Снегосборник:732|atrophy Сушильный орган:433|generate solar electricity:437|move:420|movement water loss:420|movement organic maintenance:420|harvest live biomass:27|harvest dry biomass:86|grow Сборщик сухой массы:69|grow Органическое хранилище:185|grow Биореактор / топка:69|grow Каркас:232|grow Солнечный лист:212|grow Сушильный орган:96|grow Охлаждающий орган:96|grow Парус:116|grow Резервуар:116|grow Ростовая ткань:6|collect chitin:4|atrophy Тепловой орган:672|withdraw surface water:20|heat caravan:115"
9,Autumn,2184,0,781.061546,0,0,0,2390.865479,3772.378174,5279.439941,3697.411621,3849.553223,3996.977051,202.756332,266.408112,279.078094,0,0.668938,10.082432,18.000004,18.000004,18.000004,34554.472656,36234.691406,38129.707031,"Travel:436|CollectWater:6|HarvestDryBiomass:126|DryOrganicMatter:149|CollectChitin:11","burn dry organic matter:728|heat caravan:728|reject heat:728|spoil wet organic matter:504|maintain caravan water circuit:728|maintain living structure:728|maintain electrical systems:728|move:412|movement water loss:412|movement organic maintenance:412|atrophy Снегосборник:722|atrophy Сушильный орган:579|atrophy Тепловой орган:74|harvest dry biomass:82|power intake and harvest:461|grow Сборщик сухой массы:73|grow Органическое хранилище:227|grow Биореактор / топка:73|grow Парус:154|grow Солнечный лист:190|grow Резервуар:158|grow Каркас:227|generate solar electricity:326|grow Сушильный орган:36|grow Охлаждающий орган:36|capture dust:403|harvest live biomass:5|grow Водозабор:4|grow Снегосборник:4|grow Тепловой орган:4|withdraw surface water:21|collect chitin:8|grow Ростовая ткань:5"
10,Winter,2160,0,496.345245,0,0,0,2906.446289,4695.563965,5593.810547,3777.826904,3943.558838,4102.502441,189.778732,270.324097,279.076385,0,0.394426,12.124344,18.000004,18.000004,18.000004,35695.121094,37765.078125,39256.148438,"Travel:529|HarvestDryBiomass:138|DryOrganicMatter:46|CollectChitin:7","capture dust:524|burn dry organic matter:720|power intake and harvest:577|heat caravan:720|reject heat:720|maintain caravan water circuit:720|maintain living structure:720|maintain electrical systems:720|atrophy Снегосборник:720|atrophy Сушильный орган:674|generate solar electricity:282|harvest dry biomass:121|move:339|movement water loss:339|movement organic maintenance:339|grow Сборщик сухой массы:65|grow Органическое хранилище:222|grow Биореактор / топка:65|grow Каркас:224|grow Парус:157|grow Солнечный лист:169|grow Резервуар:157|withdraw surface water:16|spoil wet organic matter:304|grow Сушильный орган:12|grow Охлаждающий орган:12|atrophy Жатка живой массы:108|harvest live biomass:1|collect chitin:5|grow Ростовая ткань:3"
10,Spring,2208,0,798.912276,0,0,0,3267.304443,4701.135742,5468.594727,3754.69458,3898.205566,4061.431396,181.520844,266.102844,279.076019,0,0.785175,13.014442,18.000004,18.000004,18.000004,36061.128906,37603.390625,38512.761719,"Travel:352|HarvestDryBiomass:105|DryOrganicMatter:265|CollectChitin:14","capture dust:398|burn dry organic matter:736|power intake and harvest:446|heat caravan:315|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|maintain electrical systems:736|move:439|movement water loss:439|movement organic maintenance:439|atrophy Снегосборник:736|atrophy Сушильный орган:471|harvest dry biomass:70|generate solar electricity:393|grow Сборщик сухой массы:64|grow Органическое хранилище:211|grow Биореактор / топка:64|grow Каркас:287|grow Солнечный лист:232|grow Сушильный орган:85|grow Охлаждающий орган:85|collect chitin:9|grow Парус:147|grow Резервуар:147|grow Ростовая ткань:4|withdraw surface water:17|harvest live biomass:26"
10,Summer,2208,0,875.906012,0,0,0,2446.096436,4428.751465,5512.401855,3777.745117,3938.482178,4082.205078,187.632309,266.692108,279.074127,0,0.840783,11.207493,18.000004,18.000004,18.000004,35468.433594,37567.117188,38919.4375,"Travel:300|CollectWater:2|HarvestDryBiomass:112|DryOrganicMatter:308|CollectChitin:14","capture dust:298|burn dry organic matter:736|power intake and harvest:378|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|maintain electrical systems:736|atrophy Снегосборник:734|atrophy Сушильный орган:428|harvest live biomass:30|generate solar electricity:437|move:427|movement water loss:427|movement organic maintenance:427|harvest dry biomass:83|grow Сборщик сухой массы:65|grow Органическое хранилище:181|grow Биореактор / топка:65|grow Каркас:229|grow Солнечный лист:222|grow Сушильный орган:106|grow Охлаждающий орган:106|withdraw surface water:20|grow Парус:116|grow Резервуар:118|atrophy Тепловой орган:626|grow Водозабор:2|grow Снегосборник:2|grow Тепловой орган:2|grow Ростовая ткань:7|collect chitin:7|heat caravan:122"
10,Autumn,2184,0,672.32819,0,0,0,3018.372559,4379.984863,5450.417969,3848.607666,4008.001709,4128.212891,180.252899,266.970245,279.070648,0,0.629072,10.996922,18.000004,18.000004,18.000004,36413.117188,37915.320313,39138.753906,"Travel:448|HarvestDryBiomass:127|DryOrganicMatter:148|CollectChitin:5","harvest dry biomass:81|capture dust:424|burn dry organic matter:728|power intake and harvest:471|heat caravan:728|reject heat:728|spoil wet organic matter:503|maintain caravan water circuit:728|maintain living structure:728|maintain electrical systems:728|grow Сборщик сухой массы:71|grow Органическое хранилище:228|grow Биореактор / топка:71|atrophy Снегосборник:728|atrophy Сушильный орган:580|atrophy Тепловой орган:44|move:386|movement water loss:386|movement organic maintenance:386|grow Парус:157|grow Солнечный лист:191|grow Резервуар:157|grow Каркас:214|generate solar electricity:327|grow Сушильный орган:34|grow Охлаждающий орган:34|harvest live biomass:5|withdraw surface water:18|grow Ростовая ткань:2|collect chitin:3"
